Distance,AvgWeight
20.8029,0.33
20.9058,0.33
21.3860,0.08
21.3860,0.16
21.3346,0.25
21.3860,0.33
21.3689,0.34
21.3346,0.34
21.3860,0.33
21.3860,0.34
21.2831,0.33
21.2317,0.33
21.2145,0.33
21.3346,0.34
21.3174,0.33
21.3860,0.33
20.9058,0.33
21.3346,0.33
21.3346,0.34
21.3346,0.34
21.3346,0.34
20.9058,0.34
21.2145,0.34
21.2317,0.34
21.3346,0.33
21.3860,0.33
21.3860,0.33
21.3346,0.33
21.3860,0.33
20.9230,0.33
21.3346,0.33
21.3860,0.33
21.3860,0.33
21.2145,0.33
21.2317,0.34
21.2831,0.34
21.3346,0.32
21.3860,0.34
21.3860,0.34
21.3860,0.32
21.3346,0.35
21.3860,0.34
21.3860,0.32
21.3860,0.34
21.3860,0.33
21.2831,0.33
21.2317,0.34
21.3517,0.34
21.3860,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3346,0.34
21.3860,0.33
21.3346,0.33
21.3346,0.34
21.3860,0.33
21.3860,0.33
21.2831,0.34
21.2831,0.34
21.3346,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3860,0.34
21.3346,0.33
21.3860,0.33
21.3174,0.34
21.3860,0.33
20.8201,0.33
21.3174,0.33
21.3346,0.32
21.3860,0.33
21.3346,0.34
21.3174,0.32
21.3346,0.34
21.3174,0.34
21.3174,0.33
20.8029,0.34
21.3346,0.33
21.3174,0.33
21.3346,0.34
21.3174,0.33
21.3860,0.33
21.3860,0.34
21.3346,0.33
21.2317,0.33
21.2317,0.34
21.3346,0.33
21.3860,0.34
21.3346,0.34
21.3860,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3860,0.33
21.3860,0.33
21.3860,0.33
21.2831,0.33
21.2831,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
20.9573,0.34
21.4032,0.34
21.3860,0.32
21.3860,0.34
21.3860,0.33
21.3860,0.33
21.2831,0.34
21.2831,0.33
20.9744,0.33
21.3860,0.33
21.3860,0.32
20.9573,0.34
21.3860,0.33
21.3860,0.33
20.9744,0.34
21.3860,0.33
20.8715,0.33
20.8544,0.34
20.9401,0.33
20.9401,0.33
20.9744,0.34
21.2831,0.33
21.2831,0.33
21.2831,0.34
21.3860,0.33
20.9744,0.33
20.9744,0.34
21.3860,0.33
20.9744,0.33
21.3860,0.33
21.3860,0.33
20.9573,0.33
20.9573,0.33
20.8544,0.34
21.2831,0.34
20.9573,0.32
20.9573,0.34
21.3860,0.34
21.3860,0.32
21.3860,0.34
21.3860,0.35
21.3860,0.32
21.2831,0.34
21.2831,0.34
21.2831,0.33
21.3860,0.33
21.3860,0.33
21.3860,0.33
21.3860,0.33
21.3860,0.33
21.3860,0.33
21.3860,0.34
21.3860,0.33
21.3860,0.33
21.2831,0.34
21.2831,0.33
21.3860,0.33
21.4032,0.34
21.3860,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3860,0.34
21.4032,0.33
21.3860,0.33
21.3860,0.34
21.3860,0.33
21.3860,0.33
21.2831,0.34
21.2831,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.32
21.3860,0.34
20.9744,0.33
20.9744,0.32
20.8715,0.34
20.9744,0.33
20.9744,0.32
20.9744,0.34
20.9744,0.33
20.9573,0.33
21.3860,0.34
20.9744,0.33
21.3860,0.33
20.9744,0.34
20.8715,0.33
20.9573,0.34
20.9573,0.34
20.9744,0.33
21.3860,0.34
21.3860,0.33
20.9573,0.33
20.9573,0.34
20.9573,0.33
20.8372,0.33
20.9573,0.34
20.9573,0.33
20.9744,0.33
21.3860,0.34
21.3860,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3860,0.34
21.2831,0.34
21.2831,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3860,0.34
21.3860,0.34
21.3860,0.33
21.3860,0.33
21.3860,0.34
20.9744,0.34
21.2831,0.33
21.2831,0.33
21.2831,0.34
21.3860,0.33
21.3860,0.33
21.3860,0.35
21.3689,0.34
20.9573,0.33
20.9573,0.34
21.3860,0.34
21.3860,0.33
20.9744,0.40
20.8544,0.42
20.9573,0.46
21.3860,0.55
21.3860,0.57
21.3860,0.63
21.3860,0.66
21.3860,0.71
20.9744,0.79
20.9573,0.80
21.2831,0.80
21.2831,0.80
21.2831,0.87
21.3860,1.11
21.3860,1.40
20.9744,1.59
21.3860,1.60
21.3860,1.56
21.3860,1.46
21.3860,1.51
21.3860,1.79
21.3860,1.98
21.2831,2.20
21.2831,2.23
21.3860,2.12
21.3860,2.62
21.3860,3.93
21.3860,5.44
21.3860,7.44
21.3860,9.38
21.3860,10.86
21.3860,12.52
21.3860,13.94
21.3860,15.57
21.3860,17.94
21.3860,21.17
21.3346,25.33
21.3346,30.26
20.9058,35.85
20.9058,41.76
20.9058,47.69
20.9058,53.07
20.9058,57.77
20.9058,62.69
20.9058,67.93
20.9058,73.89
20.9058,80.99
21.3346,88.49
20.7343,96.52
20.7686,104.36
20.7858,111.01
20.7858,116.36
21.1459,120.49
21.0945,124.39
21.0259,128.57
20.5457,133.38
20.0655,138.28
19.6024,142.84
19.8597,147.17
20.2027,150.98
20.5800,154.82
20.6143,158.68
19.6367,162.36
19.5853,166.06
20.3056,169.47
20.2370,173.04
20.0826,177.11
20.0140,181.13
20.3056,184.61
20.1855,187.23
19.6539,188.92
19.1737,190.72
19.9454,193.08
19.8254,195.89
18.8822,198.63
18.7106,200.91
18.6935,203.12
18.9507,205.14
19.3109,207.31
18.4534,209.37
17.5616,211.28
17.4930,213.48
17.8531,215.64
18.6420,216.33
18.2133,215.13
18.6420,212.63
18.5734,210.03
18.5734,209.16
18.0932,210.64
17.6131,213.02
17.6131,215.59
16.7213,218.32
16.6698,220.57
17.4415,223.01
17.4415,225.52
17.3729,227.82
17.3215,230.41
16.8413,232.95
16.7898,235.15
16.8241,237.01
14.7318,238.27
16.2410,239.00
15.8294,239.27
16.6012,239.18
16.1896,239.00
16.9613,239.16
16.5497,239.63
16.8927,240.77
16.9099,242.05
16.4297,243.02
16.4297,243.79
16.3611,244.02
15.9495,244.02
15.1091,244.02
16.3097,244.02
12.2279,244.02
11.7134,244.02
12.2279,244.02
13.3770,244.02
16.3439,243.86
15.8294,243.04
12.4680,241.75
12.4852,240.15
12.4852,238.80
12.5881,238.20
12.4852,238.69
12.9997,240.27
16.1724,241.78
16.1896,243.19
16.1896,244.00
16.5326,244.02
16.5497,244.02
16.6183,244.02
16.9613,244.02
16.8927,244.02
16.4811,244.02
16.8413,244.02
16.4297,244.02
16.7727,244.02
16.3611,244.02
16.3097,244.02
16.3954,244.02
16.6698,244.02
16.6698,244.02
16.6526,244.02
17.0299,244.02
17.0128,244.02
17.0128,244.02
17.0299,244.02
17.3901,244.02
17.3901,244.02
17.0642,244.02
17.0471,244.02
17.3901,244.02
16.9099,244.02
16.9099,244.02
16.8927,244.02
17.3215,244.02
17.2700,244.02
17.2529,244.02
17.2700,244.02
17.2700,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.8413,244.02
16.7898,244.02
16.7727,244.02
16.7727,244.02
16.7727,244.02
16.7898,244.02
16.7898,244.02
16.7898,244.02
16.7898,244.02
16.7727,244.02
16.7898,243.22
16.7727,240.83
16.7898,236.86
16.7898,231.72
16.7727,226.27
16.7898,221.18
16.7898,216.93
16.7898,213.24
16.7727,210.07
16.7898,207.55
16.7898,204.65
16.7898,201.36
16.7898,197.74
16.7727,193.72
16.7727,190.00
16.8927,186.59
16.7898,183.52
16.7727,180.65
16.7898,178.10
16.7898,175.46
17.2014,172.37
16.8413,169.26
17.2529,165.95
17.3215,162.43
16.9613,159.11
16.1896,155.83
15.5036,152.53
15.0577,149.39
15.8809,146.16
16.3611,142.88
16.4125,139.69
17.2529,136.86
16.9099,134.38
16.5326,132.11
16.2925,129.76
15.8294,127.10
15.8637,124.14
17.1157,120.98
17.2014,117.72
17.6816,114.57
17.8017,111.51
17.8017,108.61
17.4415,105.89
16.6526,103.20
16.7213,100.69
17.6302,98.32
18.0932,96.00
18.1618,93.82
17.8017,91.58
17.4415,89.24
17.0814,86.82
17.1329,84.24
18.0418,81.54
18.5734,78.74
18.6420,75.80
18.7621,72.77
18.4019,69.73
18.8822,66.69
19.4138,63.73
19.1222,60.86
18.7449,58.05
18.8135,55.33
19.3452,52.59
19.8940,49.83
19.5167,47.09
19.5853,44.41
19.7053,41.84
20.6658,39.39
20.3227,37.01
19.9626,34.66
20.0826,32.25
19.7225,29.81
20.5971,27.32
20.3056,24.72
19.9454,22.21
19.5853,19.77
19.5510,17.62
20.0312,16.16
20.6658,15.01
20.3056,13.70
19.9454,12.19
20.0140,10.22
