Distance,AvgWeight
19.6539,0.03
19.6539,0.06
20.0655,0.10
19.6539,0.13
20.0655,0.13
19.5510,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
20.0655,0.12
19.9626,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.14
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.12
20.0655,0.12
20.0655,0.12
19.5510,0.13
19.6539,0.12
20.0655,0.12
19.6539,0.13
19.6539,0.12
19.6539,0.13
19.6539,0.13
19.5510,0.13
19.6539,0.12
19.6539,0.13
19.6539,0.12
19.6539,0.13
20.0655,0.12
19.6367,0.13
19.6539,0.13
19.6539,0.12
19.6539,0.14
19.6539,0.12
19.6539,0.12
19.6539,0.14
19.6539,0.12
19.6539,0.12
19.6539,0.14
19.6539,0.12
19.5510,0.12
19.6539,0.14
20.0655,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.12
19.6539,0.13
20.0655,0.13
19.6539,0.12
19.5510,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
20.0655,0.13
19.9626,0.13
20.0655,0.13
19.6539,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.12
19.9626,0.13
20.0655,0.13
20.0655,0.12
20.0655,0.13
20.0655,0.13
20.0655,0.13
19.6367,0.13
19.6539,0.13
19.9626,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.5510,0.14
19.6539,0.13
19.6539,0.13
20.0826,0.14
20.0655,0.13
20.0826,0.12
19.9626,0.13
20.0655,0.13
19.6539,0.12
19.6539,0.13
19.6539,0.13
19.6367,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.5338,0.13
19.6539,0.13
19.6539,0.13
19.6367,0.12
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.12
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6367,0.13
19.9626,0.13
20.0655,0.13
19.9626,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
19.9626,0.13
20.0655,0.13
20.0826,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
19.9626,0.13
20.3227,0.13
20.4256,0.13
20.4428,0.13
20.4256,0.12
20.4256,0.13
20.4256,0.13
20.4256,0.12
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4428,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.3227,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.3227,0.13
20.4256,0.13
20.4256,0.12
20.4256,0.13
20.0655,0.13
20.4256,0.13
20.4771,0.13
20.3742,0.13
20.4256,0.13
20.4771,0.13
20.0655,0.13
20.0655,0.13
19.9626,0.13
20.0655,0.13
20.4256,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4256,0.13
20.4085,0.13
20.4256,0.13
20.3227,0.13
20.4256,0.13
20.4256,0.13
20.0655,0.13
19.9626,0.13
20.0655,0.13
20.4256,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
19.9626,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
19.9626,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0655,0.13
20.0826,0.13
20.0655,0.13
19.6539,0.13
19.5510,0.13
19.6539,0.13
19.6539,0.12
19.6367,0.13
19.6367,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.5510,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.6539,0.13
19.5510,0.13
19.6539,0.13
19.6367,0.13
20.0655,0.13
19.6539,0.14
20.0655,0.16
19.9626,0.38
20.0826,0.72
20.0655,1.09
20.0826,1.48
20.0655,1.66
20.0655,1.69
20.0655,1.69
20.0655,1.80
19.9626,2.17
19.9797,2.76
20.0655,3.27
20.0655,3.52
19.9626,3.52
20.0483,3.40
20.0655,3.45
20.0655,3.65
20.0655,3.87
20.0655,4.02
20.0655,3.95
19.9626,3.74
20.0826,3.40
20.0655,2.92
20.0655,2.47
20.0655,2.00
20.0655,1.55
19.9626,1.21
20.0655,0.95
20.0655,0.73
20.0655,0.64
20.0655,0.59
20.0655,0.55
20.0655,0.56
20.0655,0.55
20.0655,0.51
20.0655,0.44
20.0655,0.37
19.9626,0.40
20.0826,0.45
20.0655,0.56
20.0655,0.72
19.9626,0.68
20.0655,0.67
20.0655,0.67
20.0655,0.52
20.0655,0.42
20.0655,0.33
19.9626,0.23
19.9626,0.20
20.0655,0.27
20.0655,0.28
20.0655,0.37
19.9626,0.63
20.0655,1.33
20.0655,1.92
20.0655,2.01
20.0655,1.89
20.0655,1.20
19.9626,0.60
20.0655,0.35
20.0655,0.23
20.0655,0.18
20.0655,0.14
20.0655,0.16
20.0655,0.27
20.0655,0.72
20.0655,1.39
20.0655,1.98
20.0655,2.64
20.0655,3.62
19.9626,4.91
20.0655,6.47
20.4256,8.12
20.4256,9.33
20.4256,10.12
20.4256,11.16
20.4256,13.02
19.9969,16.68
20.0140,22.03
19.5853,27.53
19.5853,32.52
19.9454,35.85
20.2370,38.36
19.7053,41.73
19.2423,45.73
19.5853,50.43
19.4824,55.26
19.6710,59.73
19.2937,64.06
19.1222,68.28
19.0022,72.11
19.4138,75.01
18.8650,77.59
18.4019,80.13
18.6763,82.77
18.6249,86.00
18.5220,89.26
18.3848,92.25
17.9217,95.09
17.8531,97.95
18.1618,100.79
18.0932,103.69
17.1500,106.65
17.1843,109.46
17.0299,112.11
17.3901,114.59
17.6816,116.87
17.2014,119.00
16.7213,121.11
16.6698,123.36
16.6012,125.82
16.9613,128.41
17.2529,130.99
17.2014,133.41
16.7213,135.62
16.6698,137.73
17.0299,139.85
16.9613,142.07
16.8927,144.34
16.8413,146.60
16.7898,148.85
16.7213,150.92
16.6526,152.81
16.6526,154.52
16.6012,156.10
16.6012,157.65
16.6526,159.23
16.9099,160.99
16.8413,162.84
16.7727,164.73
16.7213,166.71
16.3097,168.64
16.2582,170.53
16.6012,172.29
16.6012,173.84
16.6012,175.19
16.5497,176.48
16.4811,177.72
16.4811,178.94
16.4297,180.15
16.4297,181.24
16.4640,182.19
16.3611,182.85
16.3611,183.23
16.3611,183.20
16.3611,182.75
16.3611,182.22
16.3611,181.62
16.3611,181.20
16.3097,181.29
16.3097,181.73
15.8809,182.45
16.2410,183.24
16.2410,183.93
15.8294,184.45
15.8294,184.77
15.8123,184.92
15.8294,184.84
15.8294,184.56
15.8294,184.38
15.8294,184.30
16.1896,184.31
16.1724,184.41
16.1896,184.37
16.1896,184.15
16.1896,183.69
16.1896,183.07
16.1896,182.21
16.1896,181.21
16.1896,180.17
16.1896,179.03
16.1896,177.88
16.1724,176.68
16.1896,175.47
16.1896,174.27
16.1896,173.06
15.8123,171.98
16.1896,171.19
16.1896,170.49
16.1896,170.04
16.1896,169.78
16.1896,169.47
16.2925,169.14
16.1896,168.76
16.1896,168.31
16.1896,167.92
16.1724,167.77
16.1724,167.76
16.1896,167.64
16.1896,167.36
16.2754,166.86
16.1896,166.16
16.1896,165.42
16.1896,164.61
16.1724,163.64
16.1724,162.14
16.1724,159.95
15.8294,157.00
16.2410,153.87
15.9838,150.66
16.3611,147.51
16.4297,144.40
16.4811,140.89
16.5497,137.41
16.1896,134.03
16.2410,130.95
16.3097,128.10
16.3268,125.30
16.7898,122.57
16.8584,119.76
16.5326,116.87
16.6012,113.95
16.2410,111.02
16.7213,108.10
16.7384,105.29
17.2014,102.53
16.9099,99.94
16.9613,97.55
16.6012,95.33
17.0128,93.16
17.0814,90.92
17.1329,88.49
17.2529,85.80
17.3215,83.02
17.0128,80.02
16.6526,77.03
17.1329,74.20
17.6816,71.43
17.7502,68.95
17.8017,66.50
17.0814,64.02
17.5444,61.52
17.6302,59.00
18.0932,56.56
18.2133,54.07
17.8531,51.61
17.9217,49.10
18.4534,46.51
18.9336,43.93
19.0536,41.30
18.6935,38.68
18.7449,36.21
