Distance,AvgWeight
22.6380,0.00
22.5694,0.00
22.5351,0.00
22.2092,0.00
22.2092,0.00
22.6380,0.00
22.2092,0.00
22.2092,0.00
22.6380,0.00
22.1063,0.00
22.5351,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.2092,0.00
22.6380,0.00
22.6380,0.00
22.5351,0.00
22.5351,0.00
22.6380,0.00
22.6380,0.00
22.2092,0.00
22.6380,0.00
22.6380,0.00
22.2092,0.00
22.1063,0.01
22.5351,0.01
22.5351,0.01
22.2092,0.01
22.2092,0.00
22.2264,0.00
22.2092,0.00
22.2264,0.00
22.5351,0.00
22.5351,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.6208,0.00
22.6380,0.00
22.5179,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.5351,0.00
22.5351,0.00
22.5351,0.00
22.6380,0.00
22.2092,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.5351,0.00
22.5351,0.00
22.6380,0.00
22.2264,0.00
22.2092,0.00
22.2092,0.00
22.2264,0.00
21.6947,0.00
22.1063,0.00
22.1063,0.00
22.2092,0.00
22.2092,0.00
22.2264,0.00
22.2264,0.00
22.2092,0.05
22.2092,0.13
22.2264,0.13
22.1063,0.23
22.1063,0.20
22.1235,0.11
22.1235,0.22
22.2264,0.13
22.2092,0.11
22.2092,0.22
22.2092,0.12
22.2264,0.11
22.2264,0.22
22.2264,0.11
22.2264,0.11
22.2264,0.23
22.2092,0.13
22.2092,0.16
22.2264,0.27
22.2092,0.22
22.1235,0.29
22.1063,0.38
22.1063,0.32
22.1235,0.26
22.2092,0.18
22.2264,0.06
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.00
22.6380,0.09
22.5351,0.41
22.6380,1.05
22.5351,1.83
22.5351,2.91
22.5179,4.29
22.5351,5.60
22.5351,6.88
22.5179,7.95
22.5351,8.76
22.5351,9.53
22.5351,10.44
22.5351,11.53
22.6380,12.76
22.1578,14.83
21.7462,17.58
21.7462,20.65
21.3174,23.97
21.3174,26.58
21.3174,28.74
21.3174,30.63
21.3174,32.32
21.7462,34.20
22.1578,35.76
21.6776,37.14
21.1631,38.10
21.1631,38.38
21.1631,38.79
21.1631,39.03
21.9863,39.39
22.5179,40.01
22.0377,40.44
21.6090,41.46
22.8781,42.98
21.9692,44.95
22.3464,47.72
21.8491,50.96
21.3689,54.43
20.7858,58.00
21.1459,61.13
20.7343,63.64
21.0945,65.99
21.9692,68.25
22.8095,70.76
22.3464,73.28
21.3860,75.72
21.3174,78.12
20.4771,80.36
20.4085,82.24
21.1459,83.25
21.8491,84.49
20.5457,86.05
20.4256,88.20
20.3570,91.14
20.7343,93.63
21.0774,95.66
20.6143,97.47
20.1169,99.08
19.6367,100.77
19.5853,102.60
19.5853,104.44
19.7911,106.44
19.7225,108.47
19.7740,110.43
18.8650,112.35
18.3848,114.27
17.9217,116.28
18.1790,118.42
19.0536,120.59
19.6539,122.91
18.8650,125.25
18.8135,127.44
18.7621,129.53
18.3333,131.43
18.2647,133.25
19.0365,135.07
19.4138,136.88
18.9336,138.57
18.8650,140.19
18.3848,141.73
18.3848,143.37
17.9217,145.26
17.8531,147.38
18.6420,149.76
18.9336,152.19
18.8650,154.42
18.3505,156.33
17.9732,157.76
18.3848,158.79
18.3333,159.69
17.9046,160.59
18.1790,161.85
18.6249,163.42
18.2133,165.19
18.5734,167.05
18.5048,168.67
18.4534,170.28
18.0418,171.64
17.9732,172.89
18.3848,174.15
17.9217,175.18
17.9217,176.38
18.2647,177.72
18.2647,178.99
19.0536,180.00
12.4852,180.73
12.4852,180.94
19.4652,181.36
18.9850,182.11
19.4138,183.05
18.9336,184.18
18.9336,184.86
19.3452,185.13
18.8650,185.40
18.4534,185.51
18.4534,185.59
18.4534,185.17
18.4534,184.17
18.4534,182.84
18.8822,181.83
18.8822,181.22
18.8822,181.10
18.8822,181.35
18.3848,181.68
17.9732,182.70
17.9732,183.55
17.9732,184.65
17.9732,185.51
18.4019,186.22
18.3333,187.13
18.3333,188.01
18.3333,189.04
18.7449,189.68
18.2647,190.03
18.2647,189.98
17.8531,190.00
17.7502,189.86
17.8531,190.02
18.2819,190.27
18.2819,190.18
18.2133,190.23
18.2133,189.82
17.7845,189.36
17.8017,188.87
17.8017,187.71
17.8017,186.79
17.7845,185.65
17.7845,184.83
17.8017,184.47
17.8017,183.85
17.7845,183.03
17.8017,180.79
17.8017,177.83
17.8017,174.06
17.8017,169.98
17.7845,165.62
18.2133,161.44
18.2819,157.58
19.1565,153.73
19.1737,150.51
19.2251,146.99
18.4534,143.33
18.0932,139.89
18.5220,136.72
17.7331,133.82
17.7845,130.90
18.2819,127.75
18.7621,124.32
18.4019,121.05
18.0418,118.06
17.6816,115.26
18.0932,112.71
17.7502,110.16
18.2133,107.46
18.5906,104.59
19.2251,101.50
18.4534,98.25
18.0932,95.08
18.1447,92.09
18.6249,89.26
19.1051,86.65
19.1737,84.13
19.2423,81.72
18.8650,79.39
