Distance,AvgWeight
19.9454,0.18
19.9454,0.36
19.9454,0.54
19.9454,0.72
19.9454,0.71
19.9454,0.71
19.8425,0.72
19.9454,0.71
19.9454,0.71
19.9454,0.72
19.9454,0.71
19.9283,0.71
19.9454,0.72
19.8425,0.71
19.9283,0.71
19.9454,0.71
20.3570,0.71
20.3399,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.72
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.8425,0.71
19.9454,0.72
19.9454,0.72
19.9454,0.71
19.9454,0.72
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.8425,0.71
19.9454,0.71
19.9454,0.72
19.9454,0.71
19.9454,0.71
19.9454,0.72
19.9454,0.71
19.9454,0.72
19.8425,0.71
19.9454,0.71
19.9454,0.72
19.9454,0.71
19.9454,0.71
19.9454,0.72
19.8425,0.71
19.9454,0.72
19.9454,0.72
19.9454,0.71
19.9454,0.71
19.9626,0.71
19.9626,0.71
19.9454,0.71
19.8425,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.8425,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.71
19.9454,0.58
19.9454,0.41
19.9454,0.23
19.9454,0.05
19.9454,0.00
19.8425,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.8425,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.8425,0.00
19.9454,0.00
19.8425,0.00
19.9454,0.00
19.9454,0.00
19.8425,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.8425,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.9454,0.00
19.8425,0.00
19.9454,0.05
19.9454,0.22
19.9454,0.44
19.9454,0.60
19.9454,0.74
19.8425,0.77
19.9283,0.73
19.9454,0.76
19.9454,0.76
19.9454,0.73
19.9454,0.77
19.9454,0.74
19.8425,0.74
19.9454,0.78
19.9454,0.73
19.9454,0.74
19.9454,0.77
19.9454,0.74
19.8425,0.73
19.9454,0.78
19.9454,0.73
19.9454,0.75
19.9454,0.76
19.9454,0.73
19.9454,0.75
19.8425,0.75
19.9454,0.73
19.9454,0.76
19.9454,0.76
19.9454,0.74
19.9454,0.75
19.8425,0.77
19.9454,0.74
19.9454,0.75
19.9454,0.78
19.8425,0.75
19.9454,0.74
19.9283,0.78
19.9283,0.76
19.9283,0.72
19.9454,0.76
19.9454,0.74
19.9454,0.74
19.8425,0.75
19.9454,0.76
19.9454,0.76
19.9454,0.75
19.9454,0.75
19.9454,0.76
19.9454,0.76
19.9283,0.75
19.9283,0.78
19.9454,0.79
19.9454,0.76
19.9454,0.74
19.9454,0.76
19.9454,0.75
19.9454,0.74
19.9454,0.77
19.9454,0.78
19.9454,0.74
19.8425,0.75
19.9454,0.78
19.9454,0.75
19.9454,0.75
19.8425,0.78
19.9454,0.74
19.9454,0.75
19.9626,0.76
19.9454,0.74
19.9454,0.77
19.8425,0.77
19.9454,0.74
19.9454,0.77
19.9454,0.77
19.9454,0.73
19.9454,0.77
19.9626,0.76
19.8425,0.74
19.9454,0.77
19.9454,0.76
19.9454,0.75
19.9454,0.77
19.9454,0.75
19.9454,0.76
19.9454,0.77
19.9283,0.74
19.9626,0.75
19.9454,0.77
19.9454,0.74
19.8425,1.04
19.9454,1.09
19.9454,1.13
19.9454,1.19
19.9454,0.82
19.8425,0.87
19.9283,0.77
19.9454,0.67
19.9454,0.82
19.9454,0.72
19.9454,0.69
19.9454,0.82
19.8425,0.75
19.9454,0.80
19.9454,0.89
19.9454,0.81
19.9454,0.89
19.9454,0.80
19.9454,0.77
19.9454,0.81
19.8425,0.72
19.9454,0.74
19.9454,0.77
19.9454,0.70
19.9454,0.76
19.9454,0.73
19.9454,0.71
19.9454,0.77
19.9454,0.70
19.9626,0.75
19.9454,0.77
19.9454,0.70
19.9454,0.76
19.9454,0.76
19.9454,0.70
19.9454,0.77
19.9454,0.75
19.9454,0.86
19.9454,1.10
19.9454,1.20
19.8425,1.25
19.9283,1.20
19.9283,1.05
19.9454,0.93
19.9454,0.94
19.9454,0.96
19.9454,1.00
19.9454,1.05
19.8425,1.04
19.9454,1.02
19.9454,1.07
19.9454,1.23
19.9454,1.45
19.9454,1.65
19.8425,1.94
19.9454,2.42
19.9454,3.17
19.9454,4.15
19.9454,5.31
19.9454,6.51
19.9454,7.66
19.8425,8.92
19.9454,10.33
19.9454,11.77
19.9454,13.08
19.9454,14.03
19.9454,14.62
19.9454,15.16
19.9454,15.68
19.9454,16.01
19.9454,16.12
19.9454,16.12
19.9283,16.34
19.8425,17.22
19.9454,19.00
19.9454,21.53
19.9454,24.18
20.2713,26.45
19.9454,28.36
19.9454,30.30
19.9454,32.58
19.9454,35.46
19.9454,38.68
19.9454,41.95
20.3056,45.57
20.3056,49.58
20.3056,53.48
20.3056,57.20
19.8940,60.96
20.2541,65.08
20.1855,69.48
20.1169,74.11
19.6539,78.85
19.6539,83.27
19.1737,87.72
19.5338,91.67
19.5338,94.84
19.8768,97.85
19.8254,100.89
19.7568,104.37
19.2937,108.21
18.8135,112.08
18.7449,115.88
19.1051,119.47
19.0536,122.88
19.3452,125.40
18.8135,126.77
19.0022,128.75
19.0536,131.46
19.2766,135.50
18.2990,140.89
18.6935,145.81
18.5391,150.22
18.5734,154.14
18.4534,157.91
17.9732,161.63
18.2819,165.63
18.2133,169.76
18.5048,173.81
18.0247,177.69
17.9903,181.10
17.4930,184.29
17.8531,187.55
17.8017,190.92
18.0932,194.52
17.6131,197.96
17.5444,201.04
17.0814,203.85
17.4415,206.59
17.3729,209.46
17.7331,212.61
17.6645,215.93
17.2014,219.09
17.1500,222.28
16.6698,225.29
16.6012,228.35
16.5497,231.32
16.8927,234.03
16.8413,236.52
16.8413,238.42
16.7898,240.22
16.2925,241.70
16.2925,242.76
16.2410,243.59
16.2410,243.93
16.1896,244.01
16.1896,244.01
16.1381,244.01
16.4811,244.01
16.4297,244.01
16.4297,244.01
15.9495,244.01
15.5722,244.01
15.4693,244.01
15.4693,244.01
15.4521,244.01
14.9891,244.01
14.9719,244.01
15.4007,244.01
15.0405,244.01
14.9205,244.01
15.3492,244.01
15.2806,244.01
15.7094,244.01
15.2292,244.01
15.2806,244.01
15.1606,244.01
14.2688,244.01
14.6804,244.01
12.9654,244.01
13.7886,244.01
14.2002,244.01
12.4852,244.01
12.8968,244.01
13.3084,244.01
13.3255,244.01
13.7371,244.01
14.2516,244.01
14.0973,244.01
14.2002,244.01
14.0973,244.01
14.0973,244.01
14.0973,244.01
14.2002,244.01
14.0973,244.01
14.0973,244.01
14.5089,244.01
14.5089,244.01
14.5603,244.01
14.4574,244.01
14.4574,244.01
14.4574,244.01
14.5603,244.01
14.4574,244.01
14.4403,244.01
14.8690,244.01
14.9205,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.4917,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.4917,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.4917,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.5089,244.01
14.3888,244.01
14.4917,244.01
14.3888,244.01
14.4917,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.9205,244.01
14.8004,244.01
14.3888,244.01
14.8004,244.01
14.8176,244.01
14.8004,244.01
14.8176,244.01
14.8176,244.01
14.8176,244.01
14.8176,244.01
14.8176,244.01
14.9033,244.01
14.8176,244.01
14.8004,244.01
14.8176,244.01
14.8176,244.01
14.4917,244.01
14.3888,244.01
14.3888,244.01
14.3888,244.01
14.8004,244.01
14.4403,244.01
14.0287,244.01
14.0287,244.01
14.5089,243.65
13.6857,242.53
13.6857,240.93
14.1487,238.40
13.4113,235.22
14.2173,231.92
15.0920,228.24
15.1606,224.65
15.2292,221.15
15.7094,217.41
15.3321,213.22
15.0405,208.72
14.9891,204.12
15.4693,199.93
15.9495,196.31
16.4125,193.05
16.0524,190.04
16.2239,186.98
16.5326,184.04
16.1896,181.06
16.2410,178.06
16.7213,175.12
16.7727,171.98
16.9442,168.68
16.9099,165.22
16.9613,161.72
16.6012,158.35
16.6526,155.20
17.1329,152.40
17.2014,149.63
17.2529,146.69
17.3215,143.70
17.3729,140.67
17.0128,137.54
17.0814,134.48
17.5616,131.41
17.5959,128.02
18.0932,124.51
17.7845,120.90
17.4415,117.19
17.4930,113.61
17.5616,110.01
18.0932,106.39
18.1447,102.64
17.8531,98.57
17.9217,94.25
18.0247,89.63
18.1618,84.85
18.6249,80.10
18.3333,75.25
18.4534,70.19
18.5734,64.64
18.5734,58.43
18.7106,51.72
19.0022,44.74
19.1051,38.10
19.1737,31.98
19.2937,26.48
19.3452,21.61
19.8254,16.84
19.5338,12.10
19.5853,7.63
19.5853,3.95
19.5338,1.48
19.6539,0.30
19.7053,0.00
20.1341,0.00
20.1855,0.00
20.1855,0.00
20.1855,0.00
20.1855,0.00
20.1855,0.00
20.2541,0.00
20.2370,0.00
20.1169,0.00
20.2370,0.00
20.1341,0.00
20.2541,0.00
20.2370,0.00
20.2884,0.00
20.2884,0.00
20.2370,0.00
20.2541,0.00
20.1855,0.00
20.3056,0.00
20.3056,0.00
20.2027,0.00
